bit_num,problem,mode,seed,Objective value,Solving time,Problem,num_generators
0,224,scip,4,102200000,0.084786,facLoc_100_20_5_1,38
0,225,scip,0,101528540,0.052588,facLoc_100_20_5_5,0
0,225,scip,1,101528540,0.07976899999999999,facLoc_100_20_5_5,0
0,225,scip,2,101528540,0.059565999999999994,facLoc_100_20_5_5,0
0,225,scip,3,101528540,0.058363,facLoc_100_20_5_5,0
0,225,scip,4,101528540,0.214416,facLoc_100_20_5_5,0
0,226,scip,0,96562027,67.892657,facLoc_100_20_7_8,0
0,226,scip,1,96562027,64.455232,facLoc_100_20_7_8,0
0,226,scip,2,96562027,189.940028,facLoc_100_20_7_8,0
0,226,scip,3,96562027,72.23303,facLoc_100_20_7_8,0
0,226,scip,4,96562027,128.241824,facLoc_100_20_7_8,0
0,227,scip,0,94767000,482.189041,facLoc_100_20_8_3,0
0,227,scip,1,94767000,238.381866,facLoc_100_20_8_3,0
0,227,scip,2,94767000,2219.111797,facLoc_100_20_8_3,0
0,227,scip,3,94767000,342.895383,facLoc_100_20_8_3,0
0,227,scip,4,94767000,505.470169,facLoc_100_20_8_3,0
0,228,scip,0,180800000,5.86698,facLoc_100_250_1_1,84
0,228,scip,1,180800000,2.220742,facLoc_100_250_1_1,84
0,228,scip,2,180800000,1.920719,facLoc_100_250_1_1,84
0,228,scip,3,180800000,1.7834089999999998,facLoc_100_250_1_1,84
0,228,scip,4,180800000,4.687418,facLoc_100_250_1_1,84
0,229,scip,0,182123000,1.281201,facLoc_100_250_1_3,0
0,229,scip,1,182123000,0.931934,facLoc_100_250_1_3,0
0,229,scip,2,182123000,0.733893,facLoc_100_250_1_3,0
0,229,scip,3,182123000,1.073646,facLoc_100_250_1_3,0
0,229,scip,4,182123000,1.14812,facLoc_100_250_1_3,0
0,230,scip,0,180995720,0.84336,facLoc_100_250_1_5,0
0,230,scip,1,180995720,0.952673,facLoc_100_250_1_5,0
0,230,scip,2,180995720,1.068759,facLoc_100_250_1_5,0
0,230,scip,3,180995720,1.140567,facLoc_100_250_1_5,0
0,230,scip,4,180995720,0.914776,facLoc_100_250_1_5,0
0,231,scip,0,181397935,1.3526,facLoc_100_250_1_8,0
0,231,scip,1,181397935,0.6914359999999999,facLoc_100_250_1_8,0
0,231,scip,2,181397935,0.7919999999999999,facLoc_100_250_1_8,0
0,231,scip,3,181397935,0.6967599999999999,facLoc_100_250_1_8,0
0,231,scip,4,181397935,0.65777,facLoc_100_250_1_8,0
0,232,scip,0,181100000,15.710467,facLoc_100_500_1_1,296
0,232,scip,1,181100000,12.245737,facLoc_100_500_1_1,296
0,232,scip,2,181100000,12.492026,facLoc_100_500_1_1,296
0,232,scip,3,181100000,14.34011,facLoc_100_500_1_1,296
0,232,scip,4,181100000,10.914223,facLoc_100_500_1_1,296
0,233,scip,0,181066000,2.7756309999999997,facLoc_100_500_1_3,0
0,233,scip,1,181066000,2.18021,facLoc_100_500_1_3,0
0,233,scip,2,181066000,1.633049,facLoc_100_500_1_3,0
0,233,scip,3,181066000,1.645888,facLoc_100_500_1_3,0
0,233,scip,4,181066000,1.690179,facLoc_100_500_1_3,0
0,234,scip,0,181020000,2.405069,facLoc_100_500_1_5,0
0,234,scip,1,181020000,2.101099,facLoc_100_500_1_5,0
0,234,scip,2,181020000,1.619166,facLoc_100_500_1_5,0
0,234,scip,3,181020000,1.714786,facLoc_100_500_1_5,0
0,234,scip,4,181020000,2.547249,facLoc_100_500_1_5,0
0,235,scip,0,181884937,1.999338,facLoc_100_500_1_8,0
0,235,scip,1,181884937,2.222781,facLoc_100_500_1_8,0
0,235,scip,2,181884937,1.64874,facLoc_100_500_1_8,0
0,235,scip,3,181884937,1.883837,facLoc_100_500_1_8,0
0,235,scip,4,181884937,1.599265,facLoc_100_500_1_8,0
0,236,scip,0,131900000,0.190537,facLoc_100_50_2_1,22
0,236,scip,1,131900000,0.267279,facLoc_100_50_2_1,22
0,236,scip,2,131900000,0.276344,facLoc_100_50_2_1,22
0,236,scip,3,131900000,0.202802,facLoc_100_50_2_1,22
0,236,scip,4,131900000,0.26983199999999996,facLoc_100_50_2_1,22
0,237,scip,0,131864000,0.233153,facLoc_100_50_2_3,0
0,237,scip,1,131864000,0.210848,facLoc_100_50_2_3,0
0,237,scip,2,131864000,0.33139199999999996,facLoc_100_50_2_3,0
0,237,scip,3,131864000,0.645841,facLoc_100_50_2_3,0
0,237,scip,4,131864000,0.17793,facLoc_100_50_2_3,0
0,238,scip,0,115472280,3600.016131,facLoc_100_50_3_5,0
0,238,scip,1,115472280,3600.012186,facLoc_100_50_3_5,0
0,238,scip,2,115472280,3600.023885,facLoc_100_50_3_5,0
0,238,scip,3,115472650,3600.016761,facLoc_100_50_3_5,0
0,238,scip,4,115472650,3600.01841,facLoc_100_50_3_5,0
0,239,scip,0,115431914,3600.014429,facLoc_100_50_3_8,0
0,239,scip,1,115431914,3600.01057,facLoc_100_50_3_8,0
0,239,scip,2,115431914,3600.011812,facLoc_100_50_3_8,0
0,239,scip,3,115431940,3600.012937,facLoc_100_50_3_8,0
0,239,scip,4,115431914,3600.013035,facLoc_100_50_3_8,0
0,240,scip,0,1292285000,1042.14695,facLoc_1500_100_20_3,0
0,240,scip,1,1292285000,3600.000932,facLoc_1500_100_20_3,0
0,240,scip,2,1292285000,375.645717,facLoc_1500_100_20_3,0
0,240,scip,3,1292285000,1392.737648,facLoc_1500_100_20_3,0
0,240,scip,4,1292285000,3600.001107,facLoc_1500_100_20_3,0
0,241,scip,0,1290797600,3600.000905,facLoc_1500_100_20_5,0
0,241,scip,1,1290801590,3600.001233,facLoc_1500_100_20_5,0
0,241,scip,2,1290802540,3600.021369,facLoc_1500_100_20_5,0
0,241,scip,3,1290806010,3600.028781,facLoc_1500_100_20_5,0
0,241,scip,4,1290811320,3600.002209,facLoc_1500_100_20_5,0
0,242,scip,0,1279020388,3600.00326,facLoc_1500_100_24_8,0
0,242,scip,1,1279057554,3600.021253,facLoc_1500_100_24_8,0
0,242,scip,2,1279036421,3600.017336,facLoc_1500_100_24_8,0
0,242,scip,3,1279022911,3600.009721,facLoc_1500_100_24_8,0
0,242,scip,4,1279046908,3600.005305,facLoc_1500_100_24_8,0
0,243,scip,0,1269200000,3600.004761,facLoc_1500_100_26_1,353
0,243,scip,1,1269200000,3600.002107,facLoc_1500_100_26_1,353
0,243,scip,2,1269200000,3600.009497,facLoc_1500_100_26_1,353
0,243,scip,3,1269200000,3600.002207,facLoc_1500_100_26_1,353
0,243,scip,4,1269200000,3600.017732,facLoc_1500_100_26_1,353
0,244,scip,0,1234276171,424.998457,facLoc_1500_20_101_8,0
0,244,scip,1,1234276171,682.826251,facLoc_1500_20_101_8,0
0,244,scip,2,1234276171,368.957215,facLoc_1500_20_101_8,0
0,244,scip,3,1234276171,2080.526969,facLoc_1500_20_101_8,0
0,244,scip,4,1234276171,473.970516,facLoc_1500_20_101_8,0
0,245,scip,0,1231468000,857.29772,facLoc_1500_20_125_3,3
0,245,scip,1,1231468000,861.459401,facLoc_1500_20_125_3,3
0,245,scip,2,1231468000,629.593302,facLoc_1500_20_125_3,3
0,245,scip,3,1231468000,805.021526,facLoc_1500_20_125_3,3
0,245,scip,4,1231468000,614.631033,facLoc_1500_20_125_3,3
0,246,scip,0,1224100000,3156.733165,facLoc_1500_20_128_1,1201
0,246,scip,1,1224100000,2176.869138,facLoc_1500_20_128_1,1201
0,246,scip,2,1224100000,3600.001315,facLoc_1500_20_128_1,1201
0,246,scip,3,1224100000,1372.534816,facLoc_1500_20_128_1,1201
0,246,scip,4,1224100000,2707.883325,facLoc_1500_20_128_1,1201
0,247,scip,0,1234896850,156.705548,facLoc_1500_20_84_5,0
0,247,scip,1,1234896850,239.358661,facLoc_1500_20_84_5,0
0,247,scip,2,1234896850,182.265237,facLoc_1500_20_84_5,0
0,247,scip,3,1234896850,190.923992,facLoc_1500_20_84_5,0
0,247,scip,4,1234896850,185.665142,facLoc_1500_20_84_5,0
0,248,scip,0,1363700000,224.58559,facLoc_1500_250_10_1,170
0,248,scip,1,1363700000,1023.516526,facLoc_1500_250_10_1,170
0,248,scip,2,1363700000,569.945017,facLoc_1500_250_10_1,170
0,248,scip,3,1363700000,2523.712296,facLoc_1500_250_10_1,170
0,248,scip,4,1363700000,840.085191,facLoc_1500_250_10_1,170
0,249,scip,0,1354491000,3600.00569,facLoc_1500_250_11_3,0
0,249,scip,1,1354491000,3600.006938,facLoc_1500_250_11_3,0
0,249,scip,2,1354490000,3600.014647,facLoc_1500_250_11_3,0
0,249,scip,3,1354490000,3600.149487,facLoc_1500_250_11_3,0
0,249,scip,4,1354490000,3600.021877,facLoc_1500_250_11_3,0
0,250,scip,0,1467672076,293.518013,facLoc_1500_250_6_8,0
0,250,scip,1,1467672076,352.052219,facLoc_1500_250_6_8,0
0,250,scip,2,1467672076,304.741581,facLoc_1500_250_6_8,0
0,250,scip,3,1467672076,307.536551,facLoc_1500_250_6_8,0
0,250,scip,4,1467672076,402.379931,facLoc_1500_250_6_8,0
0,251,scip,0,1383701070,3600.083796,facLoc_1500_250_9_5,0
0,251,scip,1,1383698790,3600.067724,facLoc_1500_250_9_5,0
0,251,scip,2,1383700370,3600.052928,facLoc_1500_250_9_5,0
0,251,scip,3,1383699890,3600.022165,facLoc_1500_250_9_5,0
0,251,scip,4,1383706450,3600.175405,facLoc_1500_250_9_5,0
0,252,scip,0,1709100000,975.141344,facLoc_1500_500_3_1,85
0,252,scip,1,1709100000,1216.03605,facLoc_1500_500_3_1,85
0,252,scip,2,1709100000,594.248368,facLoc_1500_500_3_1,85
0,252,scip,3,1709100000,2640.247464,facLoc_1500_500_3_1,85
0,252,scip,4,1709100000,1210.522929,facLoc_1500_500_3_1,85
0,253,scip,0,1594260159,3600.017931,facLoc_1500_500_4_8,0
0,253,scip,1,1594259550,3600.004498,facLoc_1500_500_4_8,0
0,253,scip,2,1594259884,3600.201438,facLoc_1500_500_4_8,0
0,253,scip,3,1594260139,3600.013568,facLoc_1500_500_4_8,0
0,253,scip,4,1594259973,3600.001437,facLoc_1500_500_4_8,0
0,254,scip,0,1520678000,372.638591,facLoc_1500_500_5_3,0
0,254,scip,1,1520678000,416.616903,facLoc_1500_500_5_3,0
0,254,scip,2,1520678000,508.896453,facLoc_1500_500_5_3,0
0,254,scip,3,1520678000,508.794508,facLoc_1500_500_5_3,0
0,254,scip,4,1520678000,322.525824,facLoc_1500_500_5_3,0
0,255,scip,0,1513264300,3600.038133,facLoc_1500_500_5_5,0
0,255,scip,1,1513265490,3600.014282,facLoc_1500_500_5_5,0
0,255,scip,2,1513265860,3600.170645,facLoc_1500_500_5_5,0
0,255,scip,3,1513264490,3600.017758,facLoc_1500_500_5_5,0
0,255,scip,4,1513265060,3600.19929,facLoc_1500_500_5_5,0
0,256,scip,0,1264488401,7.94351,facLoc_1500_50_30_8,0
0,256,scip,1,1264488401,8.2037,facLoc_1500_50_30_8,0
0,256,scip,2,1264488401,9.432419,facLoc_1500_50_30_8,0
0,256,scip,3,1264488401,7.572259,facLoc_1500_50_30_8,0
0,256,scip,4,1264488401,10.65715,facLoc_1500_50_30_8,0
0,257,scip,0,1248554010,3600.002727,facLoc_1500_50_48_5,0
0,257,scip,1,1248617010,3600.01529,facLoc_1500_50_48_5,0
0,257,scip,2,1248554390,3600.002665,facLoc_1500_50_48_5,0
0,257,scip,3,1248568630,3600.054815,facLoc_1500_50_48_5,0
0,257,scip,4,1248533980,3600.003329,facLoc_1500_50_48_5,0
0,258,scip,0,1241300000,3600.002192,facLoc_1500_50_53_1,723
0,258,scip,1,1241300000,3600.003542,facLoc_1500_50_53_1,723
0,258,scip,2,1241300000,3600.002422,facLoc_1500_50_53_1,723
0,258,scip,3,1241300000,3600.002403,facLoc_1500_50_53_1,723
0,258,scip,4,1241300000,3600.002905,facLoc_1500_50_53_1,723
0,259,scip,0,1242814000,3600.006536,facLoc_1500_50_56_3,0
0,259,scip,1,1242752000,3600.013305,facLoc_1500_50_56_3,0
0,259,scip,2,1242767000,3600.002732,facLoc_1500_50_56_3,0
0,259,scip,3,1242724000,3600.002004,facLoc_1500_50_56_3,0
0,259,scip,4,1242731000,3600.010879,facLoc_1500_50_56_3,0
0,260,scip,0,1686300000,3600.04668,facLoc_2000_100_28_1,319
0,260,scip,1,1686300000,3600.050807,facLoc_2000_100_28_1,319
0,260,scip,2,1686300000,3600.004019,facLoc_2000_100_28_1,319
0,260,scip,3,1686300000,3600.007437,facLoc_2000_100_28_1,319
0,260,scip,4,1686300000,3600.004504,facLoc_2000_100_28_1,319
0,261,scip,0,1685761076,3600.039264,facLoc_2000_100_30_8,0
0,261,scip,1,1685723864,3600.01303,facLoc_2000_100_30_8,0
0,261,scip,2,1685719806,3600.083996,facLoc_2000_100_30_8,0
0,261,scip,3,1685732722,3600.081202,facLoc_2000_100_30_8,0
0,261,scip,4,1685743810,3600.263108,facLoc_2000_100_30_8,0
0,262,scip,0,1686667000,3600.021145,facLoc_2000_100_32_3,0
0,262,scip,1,1686670000,3600.015868,facLoc_2000_100_32_3,0
0,262,scip,2,1686662000,3600.006685,facLoc_2000_100_32_3,0
0,262,scip,3,1686660000,3600.012511,facLoc_2000_100_32_3,0
0,262,scip,4,1686658000,3600.010125,facLoc_2000_100_32_3,0
0,263,scip,0,1684056660,3600.030831,facLoc_2000_100_33_5,0
0,263,scip,1,1684064370,3600.186342,facLoc_2000_100_33_5,0
0,263,scip,2,1684057150,3600.113141,facLoc_2000_100_33_5,0
0,263,scip,3,1684028840,3600.029037,facLoc_2000_100_33_5,0
0,263,scip,4,1684014550,3600.036189,facLoc_2000_100_33_5,0
0,264,scip,0,1628700000,70.513634,facLoc_2000_20_144_1,1500
0,264,scip,1,1628700000,61.270702,facLoc_2000_20_144_1,1500
0,264,scip,2,1628700000,53.051225,facLoc_2000_20_144_1,1500
0,264,scip,3,1628700000,79.822146,facLoc_2000_20_144_1,1500
0,264,scip,4,1628700000,107.363778,facLoc_2000_20_144_1,1500
0,265,scip,0,1639319000,2030.38974,facLoc_2000_20_165_3,1
0,265,scip,1,1639319000,3600.001305,facLoc_2000_20_165_3,1
0,265,scip,2,1639319000,2083.42517,facLoc_2000_20_165_3,1
0,265,scip,3,1639319000,3173.474186,facLoc_2000_20_165_3,1
0,265,scip,4,1639319000,2585.946938,facLoc_2000_20_165_3,1
0,266,scip,0,1637155622,3600.004324,facLoc_2000_20_168_8,0
0,266,scip,1,1637155622,1633.389611,facLoc_2000_20_168_8,0
0,266,scip,2,1637155622,1432.963513,facLoc_2000_20_168_8,0
0,266,scip,3,1637155622,814.296823,facLoc_2000_20_168_8,0
0,266,scip,4,1637155622,1337.580964,facLoc_2000_20_168_8,0
0,267,scip,0,1636271400,3149.390974,facLoc_2000_20_187_5,0
0,267,scip,1,1636271400,3240.228791,facLoc_2000_20_187_5,0
0,267,scip,2,1636271400,3257.033319,facLoc_2000_20_187_5,0
0,267,scip,3,1636413600,3600.041757,facLoc_2000_20_187_5,0
0,267,scip,4,1636271400,1380.743509,facLoc_2000_20_187_5,0
0,268,scip,0,1816000000,1092.565853,facLoc_2000_250_10_1,127
0,268,scip,1,1816000000,1740.693251,facLoc_2000_250_10_1,127
0,268,scip,2,1816000000,484.925158,facLoc_2000_250_10_1,127
0,268,scip,3,1816000000,1555.490987,facLoc_2000_250_10_1,127
0,268,scip,4,1816000000,1344.528643,facLoc_2000_250_10_1,127
0,269,scip,0,1802321550,3600.075371,facLoc_2000_250_11_5,0
0,269,scip,1,1802338700,3600.25483,facLoc_2000_250_11_5,0
0,269,scip,2,1802325700,3601.281805,facLoc_2000_250_11_5,0
0,269,scip,3,1802326750,3600.547353,facLoc_2000_250_11_5,0
0,269,scip,4,1802323000,3600.036957,facLoc_2000_250_11_5,0
0,270,scip,0,1802887955,3600.421384,facLoc_2000_250_11_8,0
0,270,scip,1,1802883775,3600.026319,facLoc_2000_250_11_8,0
0,270,scip,2,1802894370,3600.102858,facLoc_2000_250_11_8,0
0,270,scip,3,1802894367,3600.209715,facLoc_2000_250_11_8,0
0,270,scip,4,1802893083,3600.300933,facLoc_2000_250_11_8,0
0,271,scip,0,1774280000,3600.428152,facLoc_2000_250_13_3,0
0,271,scip,1,1774280000,3600.071475,facLoc_2000_250_13_3,0
0,271,scip,2,1774281000,3607.925588,facLoc_2000_250_13_3,0
0,271,scip,3,1774281000,3602.055787,facLoc_2000_250_13_3,0
0,271,scip,4,1774282000,3600.058811,facLoc_2000_250_13_3,0
0,272,scip,0,2115700000,2992.886,facLoc_2000_500_4_1,63
0,272,scip,1,2115700000,2130.795723,facLoc_2000_500_4_1,63
0,272,scip,2,2115700000,1948.30718,facLoc_2000_500_4_1,63
0,272,scip,3,2115700000,2827.282364,facLoc_2000_500_4_1,63
0,272,scip,4,2115700000,1600.739031,facLoc_2000_500_4_1,63
0,273,scip,0,1905280000,3600.020562,facLoc_2000_500_7_3,0
0,273,scip,1,1905280000,3600.043172,facLoc_2000_500_7_3,0
0,273,scip,2,1905280000,3600.794917,facLoc_2000_500_7_3,0
0,273,scip,3,1905280000,3600.178977,facLoc_2000_500_7_3,0
0,273,scip,4,1905280000,3600.347195,facLoc_2000_500_7_3,0
0,274,scip,0,1907867510,3600.068452,facLoc_2000_500_7_5,0
0,274,scip,1,1907865390,3601.479029,facLoc_2000_500_7_5,0
0,274,scip,2,1907862110,3604.884518,facLoc_2000_500_7_5,0
0,274,scip,3,1907865270,3600.358551,facLoc_2000_500_7_5,0
0,274,scip,4,1907862810,3600.836419,facLoc_2000_500_7_5,0
0,275,scip,0,1910444182,3600.13835,facLoc_2000_500_7_8,0
0,275,scip,1,1910443097,3600.035423,facLoc_2000_500_7_8,0
0,275,scip,2,1910442317,3600.146344,facLoc_2000_500_7_8,0
0,275,scip,3,1910442091,3600.059466,facLoc_2000_500_7_8,0
0,275,scip,4,2045003844,3607.284407,facLoc_2000_500_7_8,0
0,276,scip,0,1663400000,3600.001862,facLoc_2000_50_42_1,639
0,276,scip,1,1663400000,3600.002492,facLoc_2000_50_42_1,639
0,276,scip,2,1663400000,3600.164522,facLoc_2000_50_42_1,639
0,276,scip,3,1663400000,3600.014423,facLoc_2000_50_42_1,639
0,276,scip,4,1663400000,3600.017362,facLoc_2000_50_42_1,639
0,277,scip,0,1667759745,3600.091312,facLoc_2000_50_45_8,0
0,277,scip,1,1667778002,3600.008955,facLoc_2000_50_45_8,0
0,277,scip,2,1667759915,3600.011843,facLoc_2000_50_45_8,0
0,277,scip,3,1667759301,3600.009498,facLoc_2000_50_45_8,0
0,277,scip,4,1667773035,3600.011509,facLoc_2000_50_45_8,0
0,278,scip,0,1662222000,3600.010082,facLoc_2000_50_49_3,0
0,278,scip,1,1662225000,3600.007239,facLoc_2000_50_49_3,0
0,278,scip,2,1662222000,3600.001516,facLoc_2000_50_49_3,0
0,278,scip,3,1662222000,3600.023884,facLoc_2000_50_49_3,0
0,278,scip,4,1662227000,3600.003694,facLoc_2000_50_49_3,0
0,279,scip,0,1646884290,3600.037791,facLoc_2000_50_76_5,0
